Product Name,Price,Product Link,Rating (%),Image URL
N/A,360,https://www.daraz.pk//www.daraz.pk/products/buy-1-get-1-free-universal-bass-boosted-handsfree-high-bass-with-good-sound-quality-i220046515-s1815298266.html?&scm=1007.51657.380827.0&pvid=e07d44d2-a001-40cd-a87c-e3263cbf55c7&search=flashsale?search=1&mp=1&c=fs&clickTrackInfo=rs%3A0.5904%3Bfs_item_discount_price%3A360%3Bitem_id%3A220046515%3Bpctr%3A0.0%3Bcalib_pctr%3A0.0%3Bvoucher_price%3A360.00%3Bmt%3Ahot%3Bpromo_price%3A360.00%3Bfs_utdid%3A-1%3Bfs_item_sold_cnt%3A54%3Babid%3A380827%3Bfs_item_price%3A1400%3Bpvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Bfs_min_price_l30d%3A0%3Bdata_type%3Aflashsale%3Bfs_pvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Btime%3A1727836821%3Bfs_biz_type%3Afs%3Bscm%3A1007.51657.380827.%3Bchannel_id%3A0000%3Bfs_item_discount%3A74%25%3Bcampaign_id%3A300162&scm=1007.51657.380827.0,N/A,https://img.drz.lazcdn.com/static/pk/p/d0e5515cf5601f10e55fe42e63e94220.jpg_400x400q80.jpg_.webp
N/A,"1,297",https://www.daraz.pk//www.daraz.pk/products/advanced-version-smart-watch-bluetooth-heart-rate-sleep-monitor-fitness-watch-ip67-waterproof-i366497660-s1819962039.html?&scm=1007.51657.380827.0&pvid=e07d44d2-a001-40cd-a87c-e3263cbf55c7&search=flashsale?search=1&mp=1&c=fs&clickTrackInfo=rs%3A0.576%3Bfs_item_discount_price%3A1297%3Bitem_id%3A366497660%3Bpctr%3A0.0%3Bcalib_pctr%3A0.0%3Bvoucher_price%3A1297.00%3Bmt%3Ahot%3Bpromo_price%3A1297%3Bfs_utdid%3A-1%3Bfs_item_sold_cnt%3A51%3Babid%3A380827%3Bfs_item_price%3A6000%3Bpvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Bfs_min_price_l30d%3A0%3Bdata_type%3Aflashsale%3Bfs_pvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Btime%3A1727836821%3Bfs_biz_type%3Afs%3Bscm%3A1007.51657.380827.%3Bchannel_id%3A0000%3Bfs_item_discount%3A78%25%3Bcampaign_id%3A300162&scm=1007.51657.380827.0,N/A,https://img.drz.lazcdn.com/static/pk/p/069fb9e8e2916f5e4cf9a082386c3f4f.jpg_400x400q80.jpg_.webp
N/A,928,https://www.daraz.pk//www.daraz.pk/products/airpro-air-31-tws-i12-airpods_-with-super-sound-high-quality-touch-sensors-true-stereo-headphones-with-built-in-mic-10m-transmission-bluetooth-wireless-earbuds-power-case-sport-headset-for-all-bluetooth-smart-devices-i118848124-s1441366318.html?&scm=1007.51657.380827.0&pvid=e07d44d2-a001-40cd-a87c-e3263cbf55c7&search=flashsale?search=1&mp=1&c=fs&clickTrackInfo=rs%3A0.7488%3Bfs_item_discount_price%3A928%3Bitem_id%3A118848124%3Bpctr%3A0.0%3Bcalib_pctr%3A0.0%3Bvoucher_price%3A928.00%3Bmt%3Ahot%3Bpromo_price%3A928.00%3Bfs_utdid%3A-1%3Bfs_item_sold_cnt%3A120%3Babid%3A380827%3Bfs_item_price%3A4000%3Bpvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Bfs_min_price_l30d%3A0%3Bdata_type%3Aflashsale%3Bfs_pvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Btime%3A1727836821%3Bfs_biz_type%3Afs%3Bscm%3A1007.51657.380827.%3Bchannel_id%3A0000%3Bfs_item_discount%3A77%25%3Bcampaign_id%3A300162&scm=1007.51657.380827.0,N/A,https://img.drz.lazcdn.com/static/pk/p/22338a357bb28a014d2938de56a3d6b0.jpg_400x400q80.jpg_.webp
N/A,690,https://www.daraz.pk//www.daraz.pk/products/p47-wireless-headset-bluetooth-foldable-headphone-connect-with-all-smart-cell-phones-laptops-computer-systems-i213759768-s1422318933.html?&scm=1007.51657.380827.0&pvid=e07d44d2-a001-40cd-a87c-e3263cbf55c7&search=flashsale?search=1&mp=1&c=fs&clickTrackInfo=rs%3A0.5664%3Bfs_item_discount_price%3A690%3Bitem_id%3A213759768%3Bpctr%3A0.0%3Bcalib_pctr%3A0.0%3Bvoucher_price%3A690.00%3Bmt%3Ahot%3Bpromo_price%3A690.00%3Bfs_utdid%3A-1%3Bfs_item_sold_cnt%3A48%3Babid%3A380827%3Bfs_item_price%3A2000%3Bpvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Bfs_min_price_l30d%3A0%3Bdata_type%3Aflashsale%3Bfs_pvid%3Ae07d44d2-a001-40cd-a87c-e3263cbf55c7%3Btime%3A1727836821%3Bfs_biz_type%3Afs%3Bscm%3A1007.51657.380827.%3Bchannel_id%3A0000%3Bfs_item_discount%3A66%25%3Bcampaign_id%3A300162&scm=1007.51657.380827.0,N/A,https://img.drz.lazcdn.com/static/pk/p/13537ff39a839e435836f3d7944958ae.jpg_400x400q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/tubs-buckets?up_id=254140499&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000536__254140499__static__0.1__158061__7253&from=hp_categories&item_id=254140499&version=v2&params=%7B%22catIdLv1%22%3A%2210000338%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%A8%D8%A7%D9%84%D9%B9%DB%8C%D9%88%DA%BA+%D8%A7%D9%88%D8%B1+%D9%B9%D8%A8%D9%88%DA%BA+%DA%A9%DB%8C+%D8%B5%D9%81%D8%A7%D8%A6%DB%8C%22%2C%22categoryId%22%3A%2210000536%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/8faa91fbacd6ee30eb7b2ea714cdfb0a.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/kids-sunglasses-552?up_id=470718574&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__5122__470718574__static__0.1__158061__7253&from=hp_categories&item_id=470718574&version=v2&params=%7B%22catIdLv1%22%3A%221347%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22Sunglasses%22%2C%22categoryId%22%3A%225122%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/baa8e70a07fd35b882852d44450d43ca.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/smartphones?up_id=1661239&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__3__1661239__static__0.1__158061__7253&from=hp_categories&item_id=1661239&version=v2&params=%7B%22catIdLv1%22%3A%222%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D9%85%D9%88%D8%A8%D8%A7%D8%A6%D9%84%22%2C%22categoryId%22%3A%223%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/2135fc47dc5c763f27251c9bd37ed38c.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/invisible-url-fmcg-6?up_id=435792275&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10002334__435792275__static__0.1__158061__7253&from=hp_categories&item_id=435792275&version=v2&params=%7B%22catIdLv1%22%3A%2210282%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22Dog+%26+Cat+Beds%22%2C%22categoryId%22%3A%2210002334%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/e086f0e03928dde19710e60d40a2ef7e.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/tablets?up_id=485653985&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__7__485653985__static__0.1__158061__7253&from=hp_categories&item_id=485653985&version=v2&params=%7B%22catIdLv1%22%3A%222%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D9%B9%DB%8C%D8%A8%D9%84%D9%B9%22%2C%22categoryId%22%3A%227%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/1813178dc87bea5148bc30db1a3a01e8.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/aquariums-starter-kits?up_id=431583705&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10002323__431583705__static__0.1__158061__7253&from=hp_categories&item_id=431583705&version=v2&params=%7B%22catIdLv1%22%3A%2210282%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22Starter+Kits%22%2C%22categoryId%22%3A%2210002323%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/3bea630671bbadad6448ffaf31326367.jpg_170x170q80.jpg_.webp
